# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22139106
#   serial: "22139106"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T14:20:13.950702825+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200000
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 650
#       center_y: 464
#       radius: 466
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
5853,17219117,507.0,402.7,-1.197,3973,16000,0,0
11766,17219118,507.0,402.7,-1.200,4021,16000,0,0
17635,17219119,506.9,402.7,-1.211,3975,16000,0,0
23852,17219120,507.0,402.7,-1.198,3982,16000,0,0
29488,17219121,506.9,402.8,-1.205,3910,16000,0,0
35394,17219122,507.0,402.7,-1.219,4060,16000,0,0
41315,17219123,506.9,402.7,-1.189,3914,16000,0,0
58694,17219124,506.9,402.7,-1.203,3949,16000,0,0
59808,17219125,506.9,402.7,-1.209,3958,16000,0,0
60521,17219126,507.0,402.6,-1.196,4009,16000,0,0
65260,17219127,506.9,402.7,-1.206,3942,16000,0,0
70880,17219128,506.9,402.7,-1.209,3887,16000,0,0
76885,17219129,506.9,402.7,-1.219,3964,16000,0,0
82618,17219130,506.9,402.7,-1.190,3855,16000,0,0
88569,17219131,507.0,402.7,-1.208,3994,16000,0,0
94597,17219132,506.9,402.7,-1.208,4044,16000,0,0
100414,17219133,507.0,402.6,-1.198,3965,16000,0,0
107601,17219134,507.0,402.7,-1.211,4043,16000,0,0
112216,17219135,506.9,402.6,-1.204,3942,16000,0,0
118030,17219136,506.9,402.7,-1.200,3918,16000,0,0
124058,17219137,506.9,402.7,-1.199,3989,16000,0,0
129857,17219138,506.9,402.7,-1.218,3991,16000,0,0
135845,17219139,506.9,402.7,-1.220,3921,16000,0,0
141697,17219140,506.9,402.6,-1.191,3958,16000,0,0
147641,17219141,506.9,402.6,-1.207,3986,16000,0,0
153543,17219142,506.9,402.7,-1.202,3960,16000,0,0
159434,17219143,507.0,402.7,-1.189,3947,16000,0,0
165358,17219144,506.9,402.6,-1.203,3899,16000,0,0
171234,17219145,507.0,402.7,-1.211,3986,16000,0,0
177163,17219146,506.9,402.6,-1.202,4056,16000,0,0
183061,17219147,506.9,402.6,-1.196,3944,16000,0,0
188995,17219148,507.0,402.7,-1.216,4055,16000,0,0
194853,17219149,506.9,402.7,-1.188,3991,16000,0,0
200828,17219150,506.9,402.6,-1.201,3961,16000,0,0
206701,17219151,506.9,402.7,-1.204,3958,16000,0,0
212703,17219152,506.9,402.6,-1.203,3969,16000,0,0
218493,17219153,507.0,402.7,-1.192,4007,16000,0,0
224449,17219154,506.9,402.6,-1.211,4071,16000,0,0
230382,17219155,506.9,402.6,-1.199,4018,16000,0,0
236290,17219156,506.9,402.8,-1.207,3944,16000,0,0
242159,17219157,506.9,402.6,-1.198,3932,16000,0,0
248032,17219158,506.9,402.7,-1.202,3934,16000,0,0
253939,17219159,506.9,402.8,-1.210,3986,16000,0,0
259888,17219160,506.9,402.7,-1.181,3891,16000,0,0
265748,17219161,506.9,402.7,-1.195,3919,16000,0,0
271699,17219162,506.9,402.7,-1.207,4004,16000,0,0
277540,17219163,506.9,402.7,-1.188,3873,16000,0,0
283519,17219164,506.9,402.7,-1.191,3885,16000,0,0
289415,17219165,507.0,402.7,-1.202,4007,16000,0,0
295326,17219166,506.9,402.8,-1.192,3923,16000,0,0
301213,17219167,506.9,402.7,-1.201,3914,16000,0,0
307100,17219168,506.9,402.7,-1.200,4001,16000,0,0
313080,17219169,506.9,402.8,-1.191,3935,16000,0,0
319012,17219170,506.9,402.6,-1.204,3954,16000,0,0
324882,17219171,506.9,402.6,-1.207,4000,16000,0,0
330737,17219172,506.9,402.7,-1.197,3902,16000,0,0
341121,17219173,506.9,402.8,-1.191,4023,16000,0,0
346926,17219174,507.0,402.6,-1.197,3980,16000,0,0
352721,17219175,506.9,402.6,-1.188,3950,16000,0,0
354567,17219176,507.0,402.6,-1.191,4046,16000,0,0
360469,17219177,506.9,402.7,-1.196,3921,16000,0,0
366954,17219178,506.9,402.8,-1.224,4101,16000,0,0
372194,17219179,507.0,402.7,-1.204,4006,16000,0,0
377986,17219180,506.9,402.7,-1.196,3989,16000,0,0
383983,17219181,506.9,402.6,-1.214,3944,16000,0,0
389840,17219182,506.9,402.8,-1.205,3984,16000,0,0
395776,17219183,506.9,402.7,-1.188,3998,16000,0,0
401669,17219184,506.9,402.7,-1.203,3967,16000,0,0
407533,17219185,506.9,402.6,-1.212,4002,16000,0,0
413463,17219186,506.9,402.7,-1.203,3997,16000,0,0
419400,17219187,506.9,402.7,-1.196,3902,16000,0,0
425331,17219188,507.0,402.7,-1.201,3963,16000,0,0
431219,17219189,506.9,402.8,-1.193,3977,16000,0,0
437071,17219190,507.0,402.7,-1.189,4052,16000,0,0
443001,17219191,506.9,402.7,-1.208,3961,16000,0,0
448879,17219192,506.9,402.7,-1.197,4086,16000,0,0
454842,17219193,507.0,402.7,-1.192,3993,16000,0,0
460795,17219194,506.9,402.7,-1.193,3913,16000,0,0
466627,17219195,506.9,402.8,-1.191,3916,16000,0,0
472544,17219196,506.9,402.7,-1.200,3980,16000,0,0
478480,17219197,506.9,402.7,-1.185,3923,16000,0,0
484420,17219198,506.9,402.7,-1.191,3909,16000,0,0
490278,17219199,506.9,402.7,-1.192,3949,16000,0,0
496161,17219200,506.9,402.7,-1.215,4010,16000,0,0
502101,17219201,506.9,402.6,-1.204,3950,16000,0,0
508078,17219202,506.9,402.7,-1.202,3999,16000,0,0
514595,17219203,507.0,402.8,-1.198,4021,16000,0,0
519825,17219204,506.9,402.6,-1.201,3908,16000,0,0
525762,17219205,506.9,402.8,-1.208,3943,16000,0,0
531710,17219206,507.0,402.7,-1.218,4058,16000,0,0
537559,17219207,507.0,402.7,-1.220,4035,16000,0,0
543598,17219208,506.9,402.7,-1.226,3971,16000,0,0
549277,17219209,506.9,402.7,-1.206,4021,16000,0,0
555287,17219210,506.9,402.7,-1.214,3999,16000,0,0
561110,17219211,506.9,402.7,-1.210,4037,16000,0,0
567028,17219212,506.9,402.8,-1.204,3970,16000,0,0
573042,17219213,507.0,402.7,-1.214,4014,16000,0,0
578839,17219214,506.9,402.7,-1.208,3995,16000,0,0
584779,17219215,506.9,402.8,-1.202,3892,16000,0,0
590724,17219216,506.9,402.7,-1.204,3902,16000,0,0
596630,17219217,506.9,402.7,-1.204,3938,16000,0,0
602541,17219218,507.0,402.7,-1.191,3946,16000,0,0
608533,17219219,506.9,402.7,-1.215,4036,16000,0,0
614338,17219220,506.9,402.7,-1.193,3896,16000,0,0
620211,17219221,507.0,402.7,-1.198,4050,16000,0,0
626143,17219222,506.8,402.8,-1.211,3915,16000,0,0
632047,17219223,506.9,402.7,-1.212,3982,16000,0,0
637942,17219224,506.9,402.7,-1.213,4034,16000,0,0
643930,17219225,506.9,402.7,-1.198,3931,16000,0,0
649787,17219226,506.9,402.8,-1.215,4013,16000,0,0
655789,17219227,507.0,402.7,-1.216,4051,16000,0,0
661574,17219228,507.0,402.7,-1.206,4002,16000,0,0
667488,17219229,506.9,402.7,-1.198,3964,16000,0,0
673395,17219230,506.9,402.6,-1.205,3974,16000,0,0
679296,17219231,506.9,402.8,-1.198,3898,16000,0,0
685174,17219232,506.9,402.7,-1.205,3964,16000,0,0
691135,17219233,506.9,402.7,-1.219,4005,16000,0,0
697044,17219234,506.9,402.7,-1.212,4052,16000,0,0
702941,17219235,507.0,402.7,-1.196,4026,16000,0,0
708812,17219236,506.9,402.7,-1.202,3939,16000,0,0
714883,17219237,506.9,402.6,-1.202,3931,16000,0,0
720672,17219238,506.9,402.7,-1.214,3941,16000,0,0
726610,17219239,506.9,402.7,-1.207,3920,16000,0,0
732405,17219240,506.9,402.7,-1.213,4040,16000,0,0
738458,17219241,506.9,402.7,-1.212,3953,16000,0,0
744296,17219242,506.9,402.7,-1.205,4050,16000,0,0
750176,17219243,506.9,402.7,-1.194,3930,16000,0,0
756092,17219244,506.9,402.7,-1.187,3971,16000,0,0
761986,17219245,506.9,402.7,-1.204,4004,16000,0,0
767945,17219246,506.9,402.8,-1.210,4025,16000,0,0
773870,17219247,506.9,402.7,-1.211,3969,16000,0,0
779728,17219248,506.9,402.8,-1.204,3927,16000,0,0
785642,17219249,506.9,402.6,-1.212,4045,16000,0,0
791535,17219250,506.9,402.8,-1.206,3965,16000,0,0
797403,17219251,506.9,402.7,-1.195,3906,16000,0,0
803361,17219252,506.9,402.8,-1.199,4016,16000,0,0
809253,17219253,506.8,402.7,-1.222,3878,16000,0,0
815112,17219254,506.9,402.7,-1.208,3995,16000,0,0
