# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-05T10:42:44.278638138+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 440
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
11722,35960,726.3,290.3,0.676,1134,16000,0,0
13397,35961,726.4,290.4,0.685,1131,16000,0,0
17739,35962,726.5,290.5,0.709,1135,16000,0,0
23603,35963,726.7,290.6,0.678,1187,16000,0,0
29744,35964,726.7,290.8,0.680,1135,16000,0,0
35468,35965,726.9,290.8,0.724,1123,16000,0,0
41334,35966,727.1,290.9,0.684,1149,16000,0,0
47301,35967,727.3,291.0,0.684,1111,16000,0,0
54400,35968,727.3,291.0,0.666,1135,16000,0,0
59271,35969,727.4,291.1,0.663,1183,16000,0,0
66109,35970,727.6,291.4,0.730,1154,16000,0,0
70861,35971,727.9,291.5,0.694,1187,16000,0,0
76824,35972,728.0,291.7,0.678,1156,16000,0,0
82699,35973,728.1,291.8,0.691,1169,16000,0,0
88620,35974,728.3,291.9,0.654,1148,16000,0,0
94519,35975,728.4,292.2,0.684,1161,16000,0,0
100404,35976,728.5,292.3,0.654,1173,16000,0,0
106459,35977,728.7,292.4,0.698,1175,16000,0,0
112220,35978,728.7,292.4,0.709,1164,16000,0,0
118130,35979,728.8,292.6,0.751,1147,16000,0,0
124018,35980,729.0,292.6,0.745,1221,16000,0,0
129985,35981,729.0,292.7,0.728,1193,16000,0,0
135810,35982,729.1,292.9,0.709,1148,16000,0,0
142252,35983,729.0,292.9,0.726,1137,16000,0,0
147673,35984,729.0,292.9,0.743,1124,16000,0,0
154449,35985,729.2,293.1,0.704,1132,16000,0,0
159508,35986,729.1,293.0,0.723,1128,16000,0,0
165482,35987,729.1,293.1,0.727,1124,16000,0,0
171345,35988,729.2,293.1,0.707,1131,16000,0,0
177190,35989,729.2,293.1,0.675,1107,16000,0,0
183151,35990,729.3,293.2,0.689,1092,16000,0,0
189073,35991,729.5,293.3,0.742,1139,16000,0,0
194933,35992,729.5,293.5,0.731,1153,16000,0,0
200849,35993,729.7,293.7,0.741,1125,16000,0,0
206733,35994,729.8,293.7,0.722,1178,16000,0,0
212672,35995,729.9,293.9,0.717,1156,16000,0,0
218582,35996,730.0,293.9,0.710,1128,16000,0,0
224486,35997,730.0,294.0,0.743,1110,16000,0,0
230406,35998,730.2,294.1,0.717,1159,16000,0,0
236280,35999,730.2,294.1,0.718,1117,16000,0,0
242203,36000,730.2,294.1,0.716,1152,16000,0,0
248052,36001,730.4,294.3,0.738,1164,16000,0,0
254007,36002,730.4,294.2,0.728,1149,16000,0,0
259886,36003,730.4,294.2,0.722,1178,16000,0,0
265825,36004,730.7,294.5,0.734,1143,16000,0,0
271681,36005,730.7,294.5,0.736,1195,16000,0,0
277655,36006,730.7,294.5,0.732,1196,16000,0,0
284753,36007,730.7,294.5,0.752,1181,16000,0,0
290211,36008,730.9,294.8,0.741,1161,16000,0,0
298461,36009,731.0,294.8,0.750,1164,16000,0,0
301368,36010,730.9,294.9,0.756,1199,16000,0,0
307145,36011,730.9,295.0,0.757,1170,16000,0,0
313102,36012,731.2,295.0,0.735,1144,16000,0,0
318980,36013,731.1,295.1,0.747,1147,16000,0,0
324887,36014,731.4,295.2,0.795,1174,16000,0,0
330822,36015,731.5,295.3,0.769,1181,16000,0,0
336735,36016,731.5,295.2,0.791,1181,16000,0,0
342614,36017,731.5,295.2,0.765,1168,16000,0,0
348540,36018,731.7,295.3,0.800,1125,16000,0,0
354478,36019,731.7,295.4,0.761,1176,16000,0,0
360328,36020,731.8,295.5,0.780,1159,16000,0,0
366282,36021,731.7,295.5,0.783,1109,16000,0,0
372192,36022,731.7,295.5,0.794,1140,16000,0,0
378054,36023,731.6,295.5,0.791,1145,16000,0,0
383977,36024,731.7,295.4,0.798,1164,16000,0,0
389970,36025,731.7,295.6,0.773,1115,16000,0,0
395762,36026,731.7,295.6,0.776,1166,16000,0,0
401718,36027,731.8,295.5,0.759,1176,16000,0,0
407592,36028,731.9,295.7,0.756,1227,16000,0,0
413520,36029,731.8,295.7,0.773,1134,16000,0,0
419439,36030,731.8,295.7,0.730,1124,16000,0,0
425282,36031,731.8,295.6,0.743,1183,16000,0,0
431223,36032,731.8,295.6,0.743,1214,16000,0,0
437171,36033,731.8,295.7,0.758,1152,16000,0,0
443002,36034,731.7,295.6,0.760,1171,16000,0,0
448998,36035,731.8,295.7,0.724,1146,16000,0,0
454820,36036,731.7,295.6,0.779,1162,16000,0,0
460759,36037,731.9,295.7,0.752,1150,16000,0,0
466706,36038,731.8,295.7,0.761,1167,16000,0,0
472566,36039,731.8,295.6,0.785,1173,16000,0,0
478461,36040,731.8,295.7,0.761,1158,16000,0,0
484454,36041,731.8,295.6,0.756,1137,16000,0,0
490337,36042,731.7,295.5,0.793,1119,16000,0,0
496237,36043,731.7,295.5,0.773,1173,16000,0,0
502160,36044,731.8,295.6,0.735,1089,16000,0,0
508138,36045,731.8,295.6,0.754,1117,16000,0,0
513949,36046,731.8,295.6,0.764,1141,16000,0,0
519869,36047,731.8,295.6,0.754,1162,16000,0,0
525824,36048,731.7,295.6,0.772,1165,16000,0,0
531661,36049,731.8,295.7,0.761,1129,16000,0,0
537543,36050,731.8,295.6,0.746,1151,16000,0,0
543497,36051,731.9,295.6,0.735,1140,16000,0,0
549397,36052,731.7,295.4,0.785,1165,16000,0,0
555254,36053,731.8,295.8,0.761,1157,16000,0,0
561209,36054,731.7,295.4,0.771,1168,16000,0,0
567086,36055,731.9,295.6,0.742,1141,16000,0,0
573195,36056,731.7,295.5,0.793,1178,16000,0,0
578915,36057,731.8,295.6,0.766,1166,16000,0,0
584824,36058,731.8,295.6,0.752,1159,16000,0,0
590709,36059,731.8,295.6,0.776,1155,16000,0,0
596658,36060,731.8,295.6,0.772,1133,16000,0,0
602528,36061,731.7,295.5,0.771,1154,16000,0,0
608511,36062,731.8,295.6,0.766,1155,16000,0,0
614335,36063,731.8,295.6,0.770,1168,16000,0,0
620290,36064,731.7,295.5,0.762,1146,16000,0,0
626172,36065,731.9,295.6,0.765,1173,16000,0,0
637772,36066,731.8,295.5,0.771,1122,16000,0,0
638350,36067,731.8,295.6,0.746,1142,16000,0,0
643946,36068,731.8,295.6,0.776,1160,16000,0,0
