# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T12:42:20.295458019+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 430
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
557973,655309,398.5,522.0,-0.732,3944,16000,0,0
561721,655310,398.4,522.0,-0.717,3924,16000,0,0
567609,655311,398.4,522.1,-0.727,4010,16000,0,0
573729,655312,398.5,522.0,-0.706,3960,16000,0,0
579428,655313,398.4,522.0,-0.709,3997,16000,0,0
585349,655314,398.5,521.9,-0.709,3948,16000,0,0
591259,655315,398.5,522.0,-0.716,4061,16000,0,0
597179,655316,398.5,522.0,-0.719,4009,16000,0,0
603292,655317,398.4,522.1,-0.734,3917,16000,0,0
608980,655318,398.4,522.1,-0.716,3922,16000,0,0
614944,655319,398.5,522.0,-0.713,3964,16000,0,0
620856,655320,398.6,522.0,-0.709,3952,16000,0,0
626698,655321,398.6,521.9,-0.724,3884,16000,0,0
632595,655322,398.7,521.9,-0.710,3923,16000,0,0
638562,655323,398.8,521.9,-0.729,3932,16000,0,0
644426,655324,398.8,521.9,-0.725,3911,16000,0,0
650335,655325,398.8,522.0,-0.731,3995,16000,0,0
656245,655326,398.9,521.8,-0.737,3817,16000,0,0
662154,655327,398.9,521.9,-0.731,3997,16000,0,0
668032,655328,399.0,522.0,-0.718,3848,16000,0,0
674062,655329,398.9,522.0,-0.744,3948,16000,0,0
680110,655330,398.9,522.0,-0.730,4006,16000,0,0
685826,655331,399.0,522.0,-0.742,4005,16000,0,0
691655,655332,399.0,522.0,-0.757,3982,16000,0,0
697568,655333,399.0,522.0,-0.768,3919,16000,0,0
703483,655334,399.0,522.0,-0.735,3997,16000,0,0
709902,655335,398.9,522.1,-0.733,3841,16000,0,0
715291,655336,399.0,522.1,-0.730,3979,16000,0,0
726404,655337,399.0,522.1,-0.758,3954,16000,0,0
727122,655338,399.1,522.1,-0.742,3802,16000,0,0
733025,655339,399.0,522.1,-0.775,3994,16000,0,0
741039,655340,399.1,522.3,-0.757,3866,16000,0,0
744861,655341,399.2,522.3,-0.758,3828,16000,0,0
750766,655342,399.3,522.3,-0.786,3935,16000,0,0
756668,655343,399.4,522.5,-0.851,3977,16000,0,0
762576,655344,399.6,522.5,-0.894,3931,16000,0,0
768498,655345,399.7,522.7,-0.894,4013,16000,0,0
774682,655346,399.7,522.7,-0.926,3919,16000,0,0
780305,655347,399.6,522.7,-0.916,4089,16000,0,0
786195,655348,399.6,522.8,-0.960,3934,16000,0,0
792078,655349,399.6,522.7,-0.972,4069,16000,0,0
798005,655350,399.5,522.7,-1.012,3970,16000,0,0
803938,655351,399.6,522.6,-1.030,3993,16000,0,0
809834,655352,399.6,522.8,-1.054,4005,16000,0,0
815711,655353,399.6,522.8,-1.088,3973,16000,0,0
821658,655354,399.6,522.8,-1.086,4082,16000,0,0
827865,655355,399.6,523.0,-1.126,4019,16000,0,0
833491,655356,399.7,523.1,-1.154,4005,16000,0,0
839383,655357,399.7,523.2,-1.196,4054,16000,0,0
845313,655358,399.7,523.3,-1.208,3978,16000,0,0
851230,655359,399.9,523.4,-1.258,4034,16000,0,0
857139,655360,400.0,523.5,-1.311,3947,16000,0,0
863001,655361,400.1,523.5,-1.359,3975,16000,0,0
868963,655362,400.3,523.6,-1.384,4174,16000,0,0
874825,655363,400.5,523.7,-1.437,4153,16000,0,0
880787,655364,400.6,524.0,-1.461,4140,16000,0,0
886647,655365,400.8,524.2,-1.489,4175,16000,0,0
892571,655366,400.9,524.4,-1.539,4043,16000,0,0
898521,655367,401.0,524.5,-1.565,4038,16000,0,0
904382,655368,401.0,524.7,1.537,4088,16000,0,0
910247,655369,401.1,525.1,1.513,4104,16000,0,0
916219,655370,401.3,525.4,1.480,4090,16000,0,0
922101,655371,401.5,525.5,1.423,4066,16000,0,0
927936,655372,401.6,525.8,1.406,4226,16000,0,0
933916,655373,401.7,526.2,1.338,4104,16000,0,0
939774,655374,401.8,526.5,1.323,4156,16000,0,0
945706,655375,402.1,526.9,1.315,4160,16000,0,0
951589,655376,402.4,527.4,1.303,4254,16000,0,0
957583,655377,402.8,527.9,1.319,4347,16000,0,0
963399,655378,403.1,528.4,1.295,4248,16000,0,0
969351,655379,403.4,528.6,1.301,4271,16000,0,0
976052,655380,403.6,528.8,1.310,4221,16000,0,0
981156,655381,403.7,528.9,1.318,4268,16000,0,0
987168,655382,403.9,529.3,1.319,4078,16000,0,0
992921,655383,404.0,529.5,1.323,4173,16000,0,0
998894,655384,404.2,529.7,1.296,4193,16000,0,0
1004816,655385,404.6,530.1,1.273,4239,16000,0,0
1010693,655386,404.8,530.5,1.284,4277,16000,0,0
1016547,655387,405.0,530.7,1.253,4230,16000,0,0
1024649,655388,405.1,531.1,1.220,4296,16000,0,0
1028753,655389,405.4,531.6,1.241,4271,16000,0,0
1034324,655390,405.6,532.1,1.234,4202,16000,0,0
1040234,655391,405.9,532.7,1.237,4264,16000,0,0
1046140,655392,406.4,533.3,1.219,4341,16000,0,0
1052121,655393,406.8,533.8,1.273,4382,16000,0,0
1057960,655394,407.1,534.1,1.254,4345,16000,0,0
1063892,655395,407.4,534.4,1.276,4336,16000,0,0
1069853,655396,407.7,534.9,1.305,4373,16000,0,0
1075686,655397,407.8,535.3,1.262,4430,16000,0,0
1081560,655398,408.1,535.7,1.243,4224,16000,0,0
1088694,655399,408.3,536.3,1.229,4336,16000,0,0
1093354,655400,408.4,536.7,1.249,4346,16000,0,0
1099248,655401,408.7,537.1,1.216,4321,16000,0,0
1107537,655402,408.8,537.4,1.225,4454,16000,0,0
1111182,655403,409.1,537.9,1.175,4357,16000,0,0
1117023,655404,409.3,538.3,1.161,4313,16000,0,0
1123021,655405,409.5,538.5,1.195,4284,16000,0,0
1128836,655406,409.6,539.1,1.177,4350,16000,0,0
1134755,655407,410.0,539.5,1.170,4407,16000,0,0
1143872,655408,410.3,539.9,1.243,4314,16000,0,0
1151226,655409,410.6,540.4,1.228,4345,16000,0,0
1152497,655410,410.9,540.8,1.238,4404,16000,0,0
1159928,655411,411.0,541.1,1.203,4434,16000,0,0
1164300,655412,411.1,541.5,1.240,4246,16000,0,0
1172333,655413,411.4,541.8,1.234,4274,16000,0,0
1176269,655414,411.7,542.4,1.243,4376,16000,0,0
1182008,655415,411.8,543.0,1.213,4363,16000,0,0
1187954,655416,412.0,543.5,1.178,4360,16000,0,0
1193857,655417,412.2,544.2,1.207,4413,16000,0,0
1199745,655418,412.4,544.5,1.204,4380,16000,0,0
1205601,655419,412.6,545.0,1.200,4289,16000,0,0
1211518,655420,412.7,545.5,1.233,4361,16000,0,0
1217446,655421,413.1,546.2,1.254,4341,16000,0,0
1223359,655422,413.4,546.9,1.267,4405,16000,0,0
1229235,655423,413.6,547.3,1.271,4335,16000,0,0
1235177,655424,413.9,547.8,1.290,4300,16000,0,0
1241057,655425,414.1,548.4,1.285,4243,16000,0,0
1247048,655426,414.4,549.2,1.312,4337,16000,0,0
1252946,655427,414.5,550.1,1.309,4424,16000,0,0
1258770,655428,414.6,551.1,1.288,4465,16000,0,0
1264747,655429,414.7,551.8,1.286,4517,16000,0,0
1270660,655430,414.7,552.4,1.277,4355,16000,0,0
1276586,655431,414.8,553.2,1.288,4384,16000,0,0
1282483,655432,415.3,554.2,1.293,4414,16000,0,0
1288492,655433,415.7,555.1,1.347,4496,16000,0,0
1294259,655434,416.1,555.9,1.409,4297,16000,0,0
1300205,655435,416.4,556.5,1.424,4349,16000,0,0
1306020,655436,416.4,557.0,1.431,4389,16000,0,0
1311941,655437,416.6,557.6,1.463,4425,16000,0,0
1317870,655438,416.6,558.6,1.443,4438,16000,0,0
1323832,655439,416.6,559.1,1.441,4561,16000,0,0
